,Year,Season,region,Name,Event,Sport
97,1908,Summer,England,735,108,"['Boxing' 'Wrestling' 'Athletics' 'Diving' 'Lacrosse' 'Hockey' 'Shooting'
 'Fencing' 'Cycling' 'Archery' 'Sailing' 'Gymnastics' 'Racquets'
 'Motorboating' 'Football' 'Rowing' 'Tug-Of-War' 'Tennis' 'Swimming'
 'Jeu De Paume' 'Polo' 'Water Polo' 'Figure Skating' 'Rugby']"
98,1908,Summer,USA,122,52,"['Athletics' 'Shooting' 'Figure Skating' 'Tug-Of-War' 'Cycling'
 'Wrestling' 'Swimming' 'Diving' 'Jeu De Paume' 'Archery']"
99,1912,Summer,Australia,25,17,['Swimming' 'Rowing' 'Athletics' 'Tennis']
100,1912,Summer,Austria,85,46,"['Swimming' 'Wrestling' 'Modern Pentathlon' 'Shooting' 'Football'
 'Fencing' 'Water Polo' 'Rowing' 'Athletics' 'Cycling' 'Diving' 'Tennis']"
101,1912,Summer,Belgium,36,23,"['Athletics' 'Fencing' 'Water Polo' 'Art Competitions' 'Swimming'
 'Equestrianism' 'Wrestling' 'Rowing' 'Cycling']"
102,1912,Summer,Canada,37,30,"['Athletics' 'Rowing' 'Cycling' 'Shooting' 'Swimming' 'Diving'
 'Art Competitions']"
103,1912,Summer,Chile,14,16,['Shooting' 'Equestrianism' 'Cycling' 'Athletics']
104,1912,Summer,Czech Republic,43,26,"['Wrestling' 'Fencing' 'Tennis' 'Gymnastics' 'Athletics' 'Cycling'
 'Rowing' 'Art Competitions']"
105,1912,Summer,Denmark,152,46,"['Rowing' 'Wrestling' 'Gymnastics' 'Shooting' 'Tennis' 'Athletics'
 'Fencing' 'Football' 'Cycling' 'Swimming' 'Sailing' 'Modern Pentathlon'
 'Equestrianism']"
106,1912,Summer,Finland,164,49,"['Swimming' 'Wrestling' 'Sailing' 'Athletics' 'Diving' 'Shooting'
 'Gymnastics' 'Rowing' 'Football' 'Cycling']"
107,1912,Summer,France,119,66,"['Art Competitions' 'Cycling' 'Rowing' 'Athletics' 'Wrestling'
 'Water Polo' 'Tennis' 'Modern Pentathlon' 'Swimming' 'Equestrianism'
 'Shooting' 'Gymnastics' 'Sailing']"
108,1912,Summer,Germany,185,69,"['Athletics' 'Fencing' 'Wrestling' 'Rowing' 'Cycling' 'Swimming' 'Diving'
 'Shooting' 'Football' 'Gymnastics' 'Equestrianism' 'Art Competitions'
 'Tennis' 'Modern Pentathlon']"
109,1912,Summer,Greece,22,25,['Wrestling' 'Swimming' 'Athletics' 'Fencing' 'Shooting']
110,1912,Summer,Hungary,121,52,"['Water Polo' 'Athletics' 'Gymnastics' 'Rowing' 'Swimming' 'Fencing'
 'Football' 'Shooting' 'Cycling' 'Wrestling' 'Tennis']"
111,1912,Summer,Iceland,2,2,['Athletics' 'Wrestling']
112,1912,Summer,Italy,66,36,"['Fencing' 'Athletics' 'Wrestling' 'Swimming' 'Football'
 'Art Competitions' 'Gymnastics' 'Diving']"
113,1912,Summer,Japan,2,4,['Athletics']
114,1912,Summer,Luxembourg,21,6,['Gymnastics' 'Athletics']
115,1912,Summer,Netherlands,33,14,"['Tennis' 'Wrestling' 'Football' 'Fencing' 'Modern Pentathlon' 'Athletics'
 'Shooting']"
116,1912,Summer,Norway,190,58,"['Athletics' 'Fencing' 'Sailing' 'Gymnastics' 'Football' 'Diving'
 'Cycling' 'Tennis' 'Wrestling' 'Shooting' 'Rowing' 'Equestrianism'
 'Swimming' 'Modern Pentathlon']"
117,1912,Summer,Poland,1,1,['Art Competitions']
118,1912,Summer,Portugal,6,8,['Fencing' 'Athletics' 'Wrestling']
119,1912,Summer,Russia,159,62,"['Sailing' 'Modern Pentathlon' 'Athletics' 'Gymnastics' 'Football'
 'Wrestling' 'Tennis' 'Fencing' 'Cycling' 'Swimming' 'Diving' 'Shooting'
 'Rowing' 'Equestrianism' 'Art Competitions']"
120,1912,Summer,Republic of Serbia,2,2,['Athletics']
121,1912,Summer,South Africa,21,21,['Shooting' 'Fencing' 'Athletics' 'Swimming' 'Tennis' 'Cycling']
122,1912,Summer,Sweden,444,95,"['Athletics' 'Equestrianism' 'Diving' 'Rowing' 'Wrestling' 'Tug-Of-War'
 'Swimming' 'Water Polo' 'Football' 'Fencing' 'Tennis' 'Shooting'
 'Modern Pentathlon' 'Sailing' 'Gymnastics' 'Cycling']"
123,1912,Summer,Switzerland,7,3,['Art Competitions' 'Athletics']
124,1912,Summer,Turkey,2,7,['Athletics']
125,1912,Summer,England,274,79,"['Athletics' 'Tennis' 'Fencing' 'Swimming' 'Wrestling' 'Art Competitions'
 'Water Polo' 'Rowing' 'Football' 'Gymnastics' 'Shooting' 'Tug-Of-War'
 'Modern Pentathlon' 'Cycling' 'Equestrianism' 'Diving']"
126,1912,Summer,USA,174,68,"['Athletics' 'Shooting' 'Cycling' 'Fencing' 'Diving' 'Equestrianism'
 'Swimming' 'Wrestling' 'Modern Pentathlon' 'Tennis' 'Art Competitions']"
127,1920,Summer,Argentina,1,1,['Boxing']
128,1920,Summer,Australia,13,19,['Swimming' 'Diving' 'Cycling' 'Athletics' 'Tennis']
129,1920,Summer,Belgium,336,121,"['Shooting' 'Archery' 'Boxing' 'Fencing' 'Tennis' 'Gymnastics' 'Football'
 'Athletics' 'Sailing' 'Water Polo' 'Swimming' 'Hockey' 'Cycling'
 'Art Competitions' 'Equestrianism' 'Wrestling' 'Tug-Of-War' 'Diving'
 'Rowing' 'Weightlifting' 'Ice Hockey' 'Polo' 'Figure Skating']"
130,1920,Summer,Brazil,19,10,['Water Polo' 'Swimming' 'Shooting' 'Rowing' 'Diving']
131,1920,Summer,Canada,52,39,"['Shooting' 'Ice Hockey' 'Cycling' 'Athletics' 'Rowing' 'Diving'
 'Swimming' 'Boxing' 'Wrestling']"
132,1920,Summer,Chile,2,2,['Athletics']
133,1920,Summer,Czech Republic,119,53,"['Tennis' 'Wrestling' 'Rowing' 'Shooting' 'Gymnastics' 'Swimming'
 'Water Polo' 'Fencing' 'Weightlifting' 'Athletics' 'Ice Hockey'
 'Football' 'Cycling']"
134,1920,Summer,Denmark,154,66,"['Football' 'Gymnastics' 'Athletics' 'Shooting' 'Cycling' 'Boxing'
 'Modern Pentathlon' 'Fencing' 'Hockey' 'Tennis' 'Wrestling' 'Diving'
 'Rowing' 'Weightlifting']"
135,1920,Summer,Egypt,18,11,['Football' 'Fencing' 'Athletics' 'Gymnastics' 'Wrestling' 'Weightlifting']
136,1920,Summer,Estonia,14,19,['Athletics' 'Weightlifting' 'Wrestling']
137,1920,Summer,Finland,63,51,"['Swimming' 'Wrestling' 'Weightlifting' 'Modern Pentathlon'
 'Figure Skating' 'Athletics' 'Diving' 'Shooting' 'Equestrianism']"
138,1920,Summer,France,304,113,"['Cycling' 'Tennis' 'Boxing' 'Athletics' 'Equestrianism' 'Fencing'
 'Wrestling' 'Swimming' 'Weightlifting' 'Rugby' 'Rowing' 'Football'
 'Hockey' 'Gymnastics' 'Shooting' 'Art Competitions' 'Modern Pentathlon'
 'Archery' 'Ice Hockey' 'Water Polo' 'Sailing' 'Figure Skating' 'Diving']"
139,1920,Summer,Greece,47,34,"['Football' 'Athletics' 'Fencing' 'Water Polo' 'Wrestling' 'Shooting'
 'Weightlifting' 'Tennis']"
140,1920,Summer,India,5,6,['Athletics' 'Wrestling']
141,1920,Summer,Italy,174,79,"['Fencing' 'Equestrianism' 'Athletics' 'Gymnastics' 'Rowing' 'Cycling'
 'Tug-Of-War' 'Football' 'Tennis' 'Boxing' 'Water Polo' 'Weightlifting'
 'Swimming' 'Shooting' 'Wrestling' 'Diving' 'Modern Pentathlon'
 'Art Competitions']"
142,1920,Summer,Japan,15,15,['Athletics' 'Tennis' 'Swimming' 'Diving']
143,1920,Summer,Luxembourg,25,18,['Weightlifting' 'Athletics' 'Wrestling' 'Football' 'Cycling' 'Swimming']
144,1920,Summer,Monaco,4,6,['Athletics' 'Gymnastics']
145,1920,Summer,Netherlands,130,58,"['Cycling' 'Swimming' 'Tug-Of-War' 'Weightlifting' 'Sailing' 'Football'
 'Rowing' 'Water Polo' 'Wrestling' 'Shooting' 'Fencing' 'Archery'
 'Athletics' 'Boxing' 'Equestrianism']"
146,1920,Summer,New Zealand,4,6,['Athletics' 'Rowing' 'Swimming']
147,1920,Summer,Norway,193,72,"['Gymnastics' 'Football' 'Athletics' 'Sailing' 'Wrestling' 'Diving'
 'Equestrianism' 'Figure Skating' 'Boxing' 'Shooting' 'Tennis' 'Rowing'
 'Cycling' 'Art Competitions' 'Modern Pentathlon' 'Swimming']"
148,1920,Summer,Portugal,13,7,['Shooting' 'Fencing']
149,1920,Summer,Republic of Serbia,15,1,['Football']
150,1920,Summer,South Africa,39,34,['Boxing' 'Tennis' 'Shooting' 'Athletics' 'Cycling' 'Swimming' 'Wrestling']
151,1920,Summer,Spain,58,29,['Football' 'Tennis' 'Water Polo' 'Swimming' 'Shooting' 'Athletics' 'Polo']
152,1920,Summer,Sweden,259,100,"['Athletics' 'Gymnastics' 'Diving' 'Wrestling' 'Equestrianism' 'Sailing'
 'Shooting' 'Water Polo' 'Tennis' 'Swimming' 'Ice Hockey' 'Football'
 'Weightlifting' 'Modern Pentathlon' 'Fencing' 'Rowing' 'Figure Skating'
 'Cycling']"
153,1920,Summer,Switzerland,77,45,"['Shooting' 'Fencing' 'Athletics' 'Rowing' 'Water Polo' 'Wrestling'
 'Tennis' 'Ice Hockey' 'Swimming' 'Weightlifting' 'Diving'
 'Figure Skating' 'Boxing']"
154,1920,Summer,England,234,84,"['Athletics' 'Boxing' 'Cycling' 'Gymnastics' 'Swimming' 'Diving' 'Hockey'
 'Football' 'Wrestling' 'Polo' 'Tennis' 'Figure Skating' 'Rowing'
 'Fencing' 'Modern Pentathlon' 'Water Polo' 'Tug-Of-War' 'Sailing'
 'Art Competitions' 'Shooting' 'Weightlifting']"
155,1920,Summer,USA,288,113,"['Wrestling' 'Shooting' 'Athletics' 'Diving' 'Equestrianism' 'Polo'
 'Cycling' 'Swimming' 'Fencing' 'Ice Hockey' 'Tug-Of-War' 'Water Polo'
 'Rugby' 'Boxing' 'Rowing' 'Gymnastics' 'Figure Skating'
 'Modern Pentathlon']"
156,1924,Summer,Argentina,77,39,"['Sailing' 'Rowing' 'Shooting' 'Swimming' 'Weightlifting' 'Fencing'
 'Athletics' 'Boxing' 'Tennis' 'Cycling' 'Polo']"
157,1924,Summer,Australia,36,31,"['Wrestling' 'Athletics' 'Tennis' 'Swimming' 'Cycling' 'Rowing' 'Diving'
 'Boxing' 'Art Competitions']"
158,1924,Summer,Austria,49,27,"['Diving' 'Weightlifting' 'Boxing' 'Shooting' 'Wrestling' 'Fencing'
 'Athletics' 'Equestrianism']"
159,1924,Summer,Belgium,172,82,"['Fencing' 'Shooting' 'Athletics' 'Football' 'Boxing' 'Weightlifting'
 'Water Polo' 'Swimming' 'Equestrianism' 'Cycling' 'Wrestling' 'Rowing'
 'Modern Pentathlon' 'Sailing' 'Art Competitions' 'Tennis' 'Diving']"
160,1924,Summer,Brazil,12,15,['Rowing' 'Athletics' 'Art Competitions' 'Shooting']
161,1924,Summer,Bulgaria,24,12,['Cycling' 'Football' 'Athletics' 'Equestrianism']
162,1924,Summer,Canada,65,39,"['Athletics' 'Shooting' 'Boxing' 'Rowing' 'Swimming' 'Wrestling' 'Cycling'
 'Sailing']"
163,1924,Summer,Chile,13,12,['Boxing' 'Cycling' 'Fencing' 'Athletics' 'Tennis']
164,1924,Summer,Cuba,9,3,['Fencing' 'Sailing']
165,1924,Summer,Czech Republic,133,75,"['Water Polo' 'Swimming' 'Diving' 'Fencing' 'Wrestling' 'Cycling'
 'Equestrianism' 'Sailing' 'Shooting' 'Football' 'Weightlifting'
 'Art Competitions' 'Athletics' 'Tennis' 'Gymnastics' 'Modern Pentathlon']"
166,1924,Summer,Denmark,89,60,"['Cycling' 'Wrestling' 'Art Competitions' 'Tennis' 'Fencing'
 'Modern Pentathlon' 'Sailing' 'Shooting' 'Diving' 'Athletics'
 'Equestrianism' 'Boxing' 'Swimming']"
167,1924,Summer,Ecuador,3,4,['Athletics']
168,1924,Summer,Egypt,24,12,"['Shooting' 'Fencing' 'Football' 'Athletics' 'Boxing' 'Cycling'
 'Art Competitions' 'Wrestling' 'Weightlifting']"
169,1924,Summer,Estonia,37,26,['Athletics' 'Football' 'Weightlifting' 'Wrestling' 'Boxing']
170,1924,Summer,Finland,121,69,"['Swimming' 'Wrestling' 'Athletics' 'Shooting' 'Modern Pentathlon'
 'Cycling' 'Sailing' 'Equestrianism' 'Diving' 'Tennis' 'Gymnastics'
 'Art Competitions']"
171,1924,Summer,France,401,128,"['Art Competitions' 'Shooting' 'Athletics' 'Wrestling' 'Rugby'
 'Equestrianism' 'Football' 'Rowing' 'Cycling' 'Tennis' 'Fencing'
 'Swimming' 'Sailing' 'Diving' 'Boxing' 'Weightlifting' 'Gymnastics'
 'Polo' 'Modern Pentathlon' 'Water Polo']"
