,Year,Season,Team,NOC,Name,Event
327,1906,Summer,Dansk Idrts Forbund,DEN,6,3
328,1906,Summer,Denmark,DEN,43,21
329,1906,Summer,Egypt,EGY,2,5
330,1906,Summer,Finland,FIN,4,11
331,1906,Summer,France,FRA,46,47
332,1906,Summer,Germany,GER,49,41
333,1906,Summer,Great Britain,GBR,40,40
334,1906,Summer,Greece,GRE,171,61
335,1906,Summer,Greece-1,GRE,4,2
336,1906,Summer,Greece-2,GRE,4,2
337,1906,Summer,Greece-3,GRE,4,2
338,1906,Summer,Greece-4,GRE,2,1
339,1906,Summer,Hungary,HUN,35,41
340,1906,Summer,Italy,ITA,28,31
341,1906,Summer,"Large boat, Central Naval Prep School ""Poros""-1",GRE,17,1
342,1906,Summer,"Lemzos Thorichton ""Psara""-3",GRE,17,1
343,1906,Summer,"Lemzos Thorichton ""Spetsai""-4",GRE,17,1
344,1906,Summer,"Life boat naval ship ""Spetsai""-1",GRE,7,1
345,1906,Summer,"Marinai della nave da guerra ""Varese""",ITA,24,2
346,1906,Summer,Nautikos Omilos-3,GRE,5,1
347,1906,Summer,Netherlands,NED,16,8
348,1906,Summer,Norway,NOR,32,12
349,1906,Summer,Omas Helliniki P. S.,GRE,8,1
350,1906,Summer,Omilos Ereton Peiraios-2,GRE,3,1
351,1906,Summer,Omilos Ereton Smyrnis,GBR,1,1
352,1906,Summer,Omilos Ereton Smyrnis,GRE,4,1
353,1906,Summer,Panhellenios Gymnastikos Syllogos-1,GRE,6,3
354,1906,Summer,Peiraikos Syndesmos-2,GRE,7,2
355,1906,Summer,"Phalainis ton Thorichtou ""Hydra""-2",GRE,24,2
356,1906,Summer,"Phalainis ton Thorichtou ""Psara""-3",GRE,7,1
357,1906,Summer,Pistoja/Firenze,ITA,9,1
358,1906,Summer,Roma,ITA,9,1
359,1906,Summer,Royal Club Nautique de Gand,BEL,2,2
360,1906,Summer,Royal Club Nautique de Gand,GRE,1,2
361,1906,Summer,Smyrna,FRA,3,1
362,1906,Summer,Smyrna,GBR,8,1
363,1906,Summer,Socit Nautique de Bayonne-1,FRA,3,1
364,1906,Summer,Socit Nautique de Bayonne-2,FRA,5,2
365,1906,Summer,Socit Nautique de la Basse Seine-1,FRA,5,2
366,1906,Summer,Socit Nautique de la Basse Seine-2,FRA,3,1
367,1906,Summer,Sweden,SWE,39,37
368,1906,Summer,Switzerland,SUI,9,14
369,1906,Summer,Thessalonki-1,GRE,11,1
370,1906,Summer,Turkey,TUR,1,2
371,1906,Summer,United States,USA,38,28
372,1908,Summer,Amstel Amsterdam,NED,4,1
373,1908,Summer,Argentina,ARG,1,1
374,1908,Summer,Argonaut Rowing Club,CAN,6,2
375,1908,Summer,Australasia,ANZ,30,20
376,1908,Summer,Austria,AUT,7,10
377,1908,Summer,Belgium,BEL,58,31
378,1908,Summer,Berliner Ruderclub,GER,2,1
379,1908,Summer,Bohemia,BOH,19,15
380,1908,Summer,Cambridge University Boat Club-2,GBR,9,1
381,1908,Summer,Camille,FRA,1,1
382,1908,Summer,Canada,CAN,76,39
383,1908,Summer,Cobweb-1,GBR,5,1
384,1908,Summer,Cornwall,GBR,15,1
385,1908,Summer,Denmark,DEN,78,27
386,1908,Summer,Dormy-1,GBR,3,1
387,1908,Summer,Dylan-2,GBR,2,1
388,1908,Summer,England-1,GBR,11,1
389,1908,Summer,Finland,FIN,62,23
390,1908,Summer,Fram,NOR,5,1
391,1908,Summer,France,FRA,182,51
392,1908,Summer,France-1,FRA,11,1
393,1908,Summer,France-2,FRA,11,1
394,1908,Summer,Freja,SWE,3,1
395,1908,Summer,Germany,GER,80,39
396,1908,Summer,Germany-1,GER,2,1
397,1908,Summer,Germany-2,GER,2,1
398,1908,Summer,Great Britain,GBR,551,89
399,1908,Summer,Great Britain-1,GBR,14,5
400,1908,Summer,Great Britain-2,GBR,14,5
401,1908,Summer,Great Britain-3,GBR,6,3
402,1908,Summer,Great Britain-4,GBR,4,2
403,1908,Summer,Greece,GRE,20,25
404,1908,Summer,Guyoni,FRA,3,1
405,1908,Summer,Gyrinus-1,GBR,3,2
406,1908,Summer,Hera-1,GBR,10,1
407,1908,Summer,Heroine,GBR,4,1
408,1908,Summer,Hungary,HUN,56,36
409,1908,Summer,Hurlingham-2,GBR,4,1
410,1908,Summer,Iceland,ISL,1,1
411,1908,Summer,Ireland-2,GBR,12,1
412,1908,Summer,Ireland-3,GBR,4,1
413,1908,Summer,Italy,ITA,66,30
414,1908,Summer,K Division Metropolitan Police Team-3,GBR,8,1
415,1908,Summer,Leander Club #1-1,GBR,2,1
416,1908,Summer,Leander Club #2-2,GBR,2,1
417,1908,Summer,Leander Club-1,GBR,9,1
418,1908,Summer,Leander Club-2,GBR,4,1
419,1908,Summer,Liverpool Police Team-2,GBR,8,1
420,1908,Summer,London City Police-1,GBR,8,1
421,1908,Summer,Magdalen College Boat Club-1,GBR,4,1
422,1908,Summer,Mouchette-2,GBR,10,1
423,1908,Summer,Netherlands,NED,109,44
424,1908,Summer,Norway,NOR,55,21
425,1908,Summer,Norwegian Rowing Association,NOR,9,1
426,1908,Summer,Pannonia RC/National RC,HUN,9,1
427,1908,Summer,Quicksilver-2,GBR,2,1
428,1908,Summer,Roehampton-1,GBR,4,1
429,1908,Summer,Royal Club Nautique de Gand,BEL,9,1
430,1908,Summer,Russia,RUS,6,7
431,1908,Summer,Saga-2,SWE,5,1
432,1908,Summer,Scotland-3,GBR,11,1
433,1908,Summer,Sea Dog-2,GBR,2,1
434,1908,Summer,Sibindi-2,GBR,3,1
435,1908,Summer,Sorais-2,GBR,5,1
436,1908,Summer,South Africa,RSA,14,15
437,1908,Summer,Sweden,SWE,155,65
438,1908,Summer,Switzerland,SUI,1,1
439,1908,Summer,Toronto Argonauts,CAN,9,1
440,1908,Summer,United States,USA,122,52
441,1908,Summer,Vinga-1,SWE,5,1
442,1908,Summer,Wales-4,GBR,11,1
443,1908,Summer,Wolseley-Siddeley-1,GBR,4,1
444,1908,Summer,Zut,BEL,3,1
445,1912,Summer,Australasia,ANZ,16,16
446,1912,Summer,Austria,AUT,80,45
447,1912,Summer,Belgium,BEL,31,22
448,1912,Summer,Berliner Ruderclub Sport-Borussia-1,GER,9,1
449,1912,Summer,Berliner Ruderverein von 1876-2,GER,9,1
450,1912,Summer,Bohemia,BOH,43,25
451,1912,Summer,Bohemia-1,BOH,2,1
452,1912,Summer,Bohemia-2,BOH,2,1
453,1912,Summer,Bohemia-3,BOH,2,1
454,1912,Summer,Bylina-2,RUS,5,1
455,1912,Summer,Canada,CAN,28,29
456,1912,Summer,Chile,CHI,14,16
457,1912,Summer,Denmark,DEN,135,42
458,1912,Summer,Denmark-1,DEN,2,1
459,1912,Summer,Denmark-2,DEN,2,1
460,1912,Summer,Denmark-3,DEN,2,1
461,1912,Summer,Denmark-4,DEN,2,1
462,1912,Summer,England,GBR,12,1
463,1912,Summer,England-1,GBR,12,1
464,1912,Summer,Erna Signe,SWE,10,1
465,1912,Summer,Finland,FIN,132,44
466,1912,Summer,Finn II,FIN,3,1
467,1912,Summer,France,FRA,99,62
468,1912,Summer,Gallia II,RUS,7,1
469,1912,Summer,Germany,GER,162,66
470,1912,Summer,Germany-1,GER,2,1
471,1912,Summer,Germany-2,GER,2,1
472,1912,Summer,Great Britain,GBR,225,73
473,1912,Summer,Great Britain-1,GBR,4,2
474,1912,Summer,Great Britain-2,GBR,3,2
475,1912,Summer,Great Britain-3,GBR,4,2
476,1912,Summer,Great Britain-4,GBR,2,1
477,1912,Summer,Greece,GRE,22,25
478,1912,Summer,Gteborgs Roddfrening-2,SWE,5,1
479,1912,Summer,Gteborgs Roddklubb-1,SWE,9,1
480,1912,Summer,Heatherbell,FIN,7,1
481,1912,Summer,Helsingfors R. K.,FIN,5,1
482,1912,Summer,Hungaria Evezos Egylet,HUN,9,1
483,1912,Summer,Hungary,HUN,112,50
484,1912,Summer,Hungary-2,HUN,2,1
485,1912,Summer,Hungary-3,HUN,2,1
486,1912,Summer,Iceland,ISL,2,2
487,1912,Summer,Ireland,GBR,6,1
488,1912,Summer,Ireland-3,GBR,6,1
489,1912,Summer,Italy,ITA,66,36
490,1912,Summer,Japan,JPN,2,4
491,1912,Summer,K.S.S.S. 1912-2,SWE,6,1
492,1912,Summer,Kerstin-1,SWE,3,1
493,1912,Summer,Kitty-1,SWE,8,1
494,1912,Summer,Kristiania Roklub,NOR,9,1
495,1912,Summer,Kristiania Roklub-1,NOR,10,2
496,1912,Summer,Leander Club-1,GBR,9,1
497,1912,Summer,Lucky Girl-1,FIN,5,1
498,1912,Summer,Ludwigshafener Ruderverein,GER,5,1
499,1912,Summer,Luxembourg,LUX,21,6
500,1912,Summer,Mac Miche,FRA,3,1
501,1912,Summer,Magda IX,NOR,10,1
502,1912,Summer,Marga-2,SWE,6,1
503,1912,Summer,Netherlands,NED,33,14
504,1912,Summer,"New College, Oxford-2",GBR,9,1
505,1912,Summer,Nina,FIN,7,1
506,1912,Summer,Norman-1,RUS,5,1
507,1912,Summer,Norway,NOR,147,51
508,1912,Summer,Norway-1,NOR,2,1
509,1912,Summer,Norway-2,NOR,2,1
510,1912,Summer,Norway-3,NOR,2,1
511,1912,Summer,Nurdug II,DEN,3,1
512,1912,Summer,Nykjbings paa Falster,DEN,5,1
513,1912,Summer,Ormsund Roklub-2,NOR,5,1
514,1912,Summer,Poland,POL,1,1
515,1912,Summer,Polyteknisk Roklub-1,DEN,5,1
516,1912,Summer,Portugal,POR,6,8
517,1912,Summer,"R.-V. Germania, Leitmeritz",AUT,5,1
518,1912,Summer,Roddklubben af 1912-1,SWE,5,1
519,1912,Summer,Roddklubben af 1912-2,SWE,9,1
520,1912,Summer,Roklubb Kbnhavn-2,DEN,5,1
521,1912,Summer,Royal Club Nautique de Gand,BEL,5,1
522,1912,Summer,Russia,RUS,142,60
523,1912,Summer,Sans Atout-1,SWE,5,1
524,1912,Summer,Sass-2,SWE,3,1
525,1912,Summer,Scotland,GBR,8,1
526,1912,Summer,Scotland-2,GBR,8,1
527,1912,Summer,Serbia,SRB,2,2
528,1912,Summer,Socit Nautique de Bayonne,FRA,17,3
529,1912,Summer,Sonja II,NOR,3,1
530,1912,Summer,South Africa,RSA,21,21
531,1912,Summer,Studenternes Roklub-2,NOR,5,1
532,1912,Summer,Sweden,SWE,374,84
533,1912,Summer,Sweden-1,SWE,6,4
534,1912,Summer,Sweden-2,SWE,6,4
535,1912,Summer,Sweden-3,SWE,5,4
536,1912,Summer,Sweden-4,SWE,2,1
537,1912,Summer,Switzerland,SUI,7,3
538,1912,Summer,Sydney Rowing Club,ANZ,9,1
539,1912,Summer,Taifun,NOR,5,1
540,1912,Summer,Thames Rowing Club,GBR,5,1
541,1912,Summer,Toronto Argonauts,CAN,9,1
542,1912,Summer,Turkey,TUR,2,7
543,1912,Summer,United States,USA,174,68
544,1912,Summer,Unknown,UNK,2,1
545,1912,Summer,Vaxholm Roddklubb,SWE,5,1
