,Year,Season,NOC,Name,Event,Sport,region,notes
761,2010,Winter,COL,1,2,['Alpine Skiing'],Colombia,
762,2012,Summer,COL,101,81,"['Athletics' 'Cycling' 'Judo' 'Football' 'Weightlifting' 'Wrestling'
 'Equestrianism' 'Tennis' 'Shooting' 'Swimming' 'Gymnastics' 'Sailing'
 'Boxing' 'Table Tennis' 'Taekwondo' 'Diving' 'Archery' 'Triathlon'
 'Fencing']",Colombia,
763,2016,Summer,COL,143,85,"['Athletics' 'Rugby Sevens' 'Football' 'Archery' 'Synchronized Swimming'
 'Judo' 'Swimming' 'Boxing' 'Cycling' 'Equestrianism' 'Tennis'
 'Weightlifting' 'Gymnastics' 'Shooting' 'Wrestling' 'Sailing' 'Diving'
 'Taekwondo' 'Fencing' 'Table Tennis' 'Golf']",Colombia,
764,1900,Summer,CUB,1,2,['Fencing'],Cuba,
765,1904,Summer,CUB,3,5,['Athletics' 'Fencing'],Cuba,
766,1924,Summer,CUB,9,3,['Fencing' 'Sailing'],Cuba,
767,1928,Summer,CUB,1,1,['Athletics'],Cuba,
768,1932,Summer,CUB,3,1,['Art Competitions'],Cuba,
769,1948,Summer,CUB,53,31,"['Fencing' 'Basketball' 'Gymnastics' 'Shooting' 'Diving' 'Rowing'
 'Sailing' 'Athletics' 'Swimming' 'Weightlifting' 'Wrestling' 'Cycling']",Cuba,
770,1952,Summer,CUB,29,23,"['Gymnastics' 'Athletics' 'Basketball' 'Shooting' 'Sailing'
 'Weightlifting' 'Fencing' 'Swimming']",Cuba,
771,1956,Summer,CUB,16,16,['Rowing' 'Sailing' 'Athletics' 'Gymnastics' 'Swimming'],Cuba,
772,1960,Summer,CUB,12,15,"['Boxing' 'Sailing' 'Athletics' 'Fencing' 'Swimming' 'Weightlifting'
 'Gymnastics' 'Wrestling']",Cuba,
773,1964,Summer,CUB,27,24,['Boxing' 'Athletics' 'Rowing' 'Gymnastics' 'Fencing' 'Weightlifting'],Cuba,
774,1968,Summer,CUB,115,78,"['Boxing' 'Gymnastics' 'Shooting' 'Water Polo' 'Weightlifting' 'Fencing'
 'Rowing' 'Basketball' 'Athletics' 'Swimming' 'Wrestling' 'Cycling'
 'Diving']",Cuba,
775,1972,Summer,CUB,137,69,"['Athletics' 'Water Polo' 'Wrestling' 'Basketball' 'Cycling' 'Judo'
 'Gymnastics' 'Volleyball' 'Weightlifting' 'Rowing' 'Shooting' 'Boxing'
 'Canoeing' 'Fencing']",Cuba,
776,1976,Summer,CUB,156,76,"['Wrestling' 'Boxing' 'Athletics' 'Water Polo' 'Rowing' 'Cycling'
 'Volleyball' 'Weightlifting' 'Football' 'Basketball' 'Shooting' 'Fencing'
 'Gymnastics' 'Judo']",Cuba,
777,1980,Summer,CUB,208,92,"['Basketball' 'Handball' 'Boxing' 'Fencing' 'Rowing' 'Volleyball'
 'Cycling' 'Gymnastics' 'Judo' 'Wrestling' 'Water Polo' 'Athletics'
 'Weightlifting' 'Hockey' 'Shooting' 'Canoeing' 'Sailing' 'Football'
 'Diving']",Cuba,
778,1992,Summer,CUB,176,90,"['Canoeing' 'Athletics' 'Weightlifting' 'Basketball' 'Baseball'
 'Wrestling' 'Table Tennis' 'Boxing' 'Water Polo' 'Volleyball' 'Judo'
 'Fencing' 'Cycling' 'Rowing' 'Swimming' 'Shooting']",Cuba,
779,1996,Summer,CUB,164,84,"['Basketball' 'Boxing' 'Baseball' 'Athletics' 'Beach Volleyball'
 'Weightlifting' 'Rowing' 'Wrestling' 'Volleyball' 'Judo' 'Swimming'
 'Fencing' 'Sailing' 'Cycling' 'Shooting']",Cuba,
780,2000,Summer,CUB,229,135,"['Diving' 'Rowing' 'Volleyball' 'Boxing' 'Baseball' 'Athletics'
 'Weightlifting' 'Softball' 'Table Tennis' 'Judo' 'Archery' 'Wrestling'
 'Canoeing' 'Shooting' 'Swimming' 'Handball' 'Basketball' 'Fencing'
 'Beach Volleyball' 'Cycling' 'Gymnastics' 'Taekwondo' 'Sailing'
 'Synchronized Swimming']",Cuba,
781,2004,Summer,CUB,151,108,"['Canoeing' 'Beach Volleyball' 'Boxing' 'Judo' 'Rowing' 'Wrestling'
 'Volleyball' 'Shooting' 'Weightlifting' 'Athletics' 'Baseball' 'Diving'
 'Fencing' 'Cycling' 'Gymnastics' 'Swimming' 'Taekwondo' 'Archery']",Cuba,
782,2008,Summer,CUB,158,102,"['Boxing' 'Canoeing' 'Diving' 'Weightlifting' 'Athletics' 'Judo'
 'Volleyball' 'Rowing' 'Wrestling' 'Baseball' 'Fencing' 'Beach Volleyball'
 'Shooting' 'Cycling' 'Taekwondo' 'Swimming' 'Archery' 'Modern Pentathlon']",Cuba,
783,2012,Summer,CUB,109,86,"['Judo' 'Athletics' 'Diving' 'Cycling' 'Boxing' 'Weightlifting' 'Canoeing'
 'Wrestling' 'Rowing' 'Shooting' 'Taekwondo' 'Swimming' 'Table Tennis'
 'Archery']",Cuba,
784,2016,Summer,CUB,117,99,"['Athletics' 'Taekwondo' 'Boxing' 'Judo' 'Wrestling' 'Table Tennis'
 'Volleyball' 'Shooting' 'Beach Volleyball' 'Modern Pentathlon' 'Rowing'
 'Swimming' 'Canoeing' 'Cycling' 'Badminton' 'Weightlifting' 'Fencing'
 'Gymnastics' 'Archery']",Cuba,
785,1900,Summer,ESP,9,7,['Rowing' 'Basque Pelota' 'Fencing' 'Equestrianism'],Spain,
786,1920,Summer,ESP,58,29,['Football' 'Tennis' 'Water Polo' 'Swimming' 'Shooting' 'Athletics' 'Polo'],Spain,
787,1924,Summer,ESP,95,44,"['Tennis' 'Equestrianism' 'Sailing' 'Athletics' 'Rowing' 'Water Polo'
 'Boxing' 'Swimming' 'Football' 'Art Competitions' 'Polo' 'Fencing'
 'Shooting' 'Diving' 'Wrestling']",Spain,
788,1928,Summer,ESP,80,34,"['Fencing' 'Equestrianism' 'Football' 'Sailing' 'Hockey' 'Swimming'
 'Boxing' 'Water Polo' 'Athletics' 'Cycling']",Spain,
789,1932,Summer,ESP,7,4,['Sailing' 'Shooting' 'Art Competitions'],Spain,
790,1936,Winter,ESP,6,2,['Cross Country Skiing' 'Alpine Skiing'],Spain,
791,1948,Summer,ESP,65,37,"['Athletics' 'Hockey' 'Sailing' 'Shooting' 'Boxing' 'Modern Pentathlon'
 'Swimming' 'Water Polo' 'Equestrianism' 'Rowing' 'Art Competitions']",Spain,
792,1948,Winter,ESP,6,3,['Alpine Skiing'],Spain,
793,1952,Summer,ESP,27,21,"['Water Polo' 'Shooting' 'Sailing' 'Gymnastics' 'Swimming' 'Rowing'
 'Equestrianism']",Spain,
794,1952,Winter,ESP,4,3,['Alpine Skiing'],Spain,
795,1956,Summer,ESP,6,4,['Equestrianism'],Spain,
796,1956,Winter,ESP,9,6,['Alpine Skiing' 'Bobsleigh' 'Figure Skating'],Spain,
797,1960,Summer,ESP,144,83,"['Athletics' 'Rowing' 'Sailing' 'Swimming' 'Hockey' 'Shooting'
 'Gymnastics' 'Cycling' 'Boxing' 'Basketball' 'Fencing' 'Wrestling'
 'Equestrianism' 'Canoeing' 'Modern Pentathlon' 'Weightlifting']",Spain,
798,1960,Winter,ESP,4,6,['Alpine Skiing'],Spain,
799,1964,Summer,ESP,51,35,"['Athletics' 'Shooting' 'Hockey' 'Swimming' 'Boxing' 'Cycling'
 'Equestrianism' 'Sailing' 'Wrestling']",Spain,
800,1964,Winter,ESP,6,3,['Alpine Skiing'],Spain,
801,1968,Summer,ESP,122,50,"['Shooting' 'Football' 'Basketball' 'Sailing' 'Athletics' 'Hockey'
 'Water Polo' 'Swimming' 'Boxing' 'Canoeing' 'Cycling' 'Rowing']",Spain,
802,1968,Winter,ESP,20,6,['Alpine Skiing' 'Bobsleigh' 'Luge'],Spain,
803,1972,Summer,ESP,123,59,"['Hockey' 'Athletics' 'Equestrianism' 'Handball' 'Shooting' 'Swimming'
 'Sailing' 'Water Polo' 'Basketball' 'Cycling' 'Canoeing' 'Boxing'
 'Gymnastics' 'Diving' 'Weightlifting' 'Judo' 'Archery']",Spain,
804,1972,Winter,ESP,3,5,['Alpine Skiing'],Spain,
805,1976,Summer,ESP,113,68,"['Sailing' 'Cycling' 'Equestrianism' 'Hockey' 'Football' 'Shooting'
 'Swimming' 'Athletics' 'Gymnastics' 'Canoeing' 'Diving' 'Judo' 'Boxing'
 'Weightlifting']",Spain,
806,1976,Winter,ESP,4,3,['Alpine Skiing'],Spain,
807,1980,Summer,ESP,155,75,"['Sailing' 'Athletics' 'Water Polo' 'Football' 'Handball' 'Hockey'
 'Swimming' 'Rowing' 'Gymnastics' 'Basketball' 'Shooting' 'Diving' 'Judo'
 'Canoeing' 'Fencing' 'Modern Pentathlon' 'Wrestling' 'Archery']",Spain,
808,1980,Winter,ESP,8,8,['Alpine Skiing' 'Cross Country Skiing' 'Figure Skating'],Spain,
809,1984,Summer,ESP,179,104,"['Sailing' 'Athletics' 'Water Polo' 'Hockey' 'Swimming' 'Canoeing'
 'Handball' 'Equestrianism' 'Cycling' 'Synchronized Swimming' 'Basketball'
 'Gymnastics' 'Shooting' 'Rowing' 'Rhythmic Gymnastics'
 'Modern Pentathlon' 'Diving' 'Fencing' 'Judo' 'Wrestling' 'Boxing'
 'Archery' 'Weightlifting']",Spain,
810,1984,Winter,ESP,12,11,['Biathlon' 'Alpine Skiing' 'Cross Country Skiing' 'Ski Jumping'],Spain,
811,1988,Summer,ESP,229,130,"['Athletics' 'Cycling' 'Rowing' 'Canoeing' 'Equestrianism'
 'Synchronized Swimming' 'Basketball' 'Hockey' 'Swimming' 'Shooting'
 'Wrestling' 'Gymnastics' 'Boxing' 'Handball' 'Tennis' 'Modern Pentathlon'
 'Water Polo' 'Sailing' 'Fencing' 'Diving' 'Judo' 'Archery'
 'Weightlifting' 'Rhythmic Gymnastics']",Spain,
812,1988,Winter,ESP,12,16,"['Cross Country Skiing' 'Alpine Skiing' 'Luge' 'Figure Skating'
 'Ski Jumping']",Spain,
813,1992,Summer,ESP,422,195,"['Football' 'Rhythmic Gymnastics' 'Athletics' 'Rowing' 'Basketball'
 'Handball' 'Volleyball' 'Cycling' 'Fencing' 'Equestrianism' 'Canoeing'
 'Diving' 'Hockey' 'Synchronized Swimming' 'Shooting' 'Baseball' 'Tennis'
 'Wrestling' 'Water Polo' 'Swimming' 'Sailing' 'Boxing' 'Judo'
 'Weightlifting' 'Table Tennis' 'Modern Pentathlon' 'Gymnastics' 'Archery'
 'Badminton']",Spain,
814,1992,Winter,ESP,17,15,['Alpine Skiing' 'Cross Country Skiing' 'Luge' 'Freestyle Skiing'],Spain,
815,1994,Winter,ESP,13,14,"['Figure Skating' 'Alpine Skiing' 'Cross Country Skiing'
 'Freestyle Skiing']",Spain,
816,1996,Summer,ESP,289,157,"['Water Polo' 'Rowing' 'Athletics' 'Cycling' 'Equestrianism' 'Diving'
 'Judo' 'Hockey' 'Shooting' 'Canoeing' 'Football' 'Rhythmic Gymnastics'
 'Swimming' 'Sailing' 'Beach Volleyball' 'Tennis' 'Gymnastics'
 'Weightlifting' 'Fencing' 'Handball' 'Boxing' 'Archery']",Spain,
817,1998,Winter,ESP,12,8,['Figure Skating' 'Snowboarding' 'Alpine Skiing' 'Cross Country Skiing'],Spain,
818,2000,Summer,ESP,321,165,"['Athletics' 'Football' 'Diving' 'Rowing' 'Judo' 'Cycling' 'Hockey'
 'Basketball' 'Canoeing' 'Rhythmic Gymnastics' 'Equestrianism' 'Sailing'
 'Water Polo' 'Swimming' 'Gymnastics' 'Handball' 'Taekwondo' 'Triathlon'
 'Beach Volleyball' 'Volleyball' 'Weightlifting' 'Tennis' 'Fencing'
 'Shooting' 'Archery' 'Boxing' 'Synchronized Swimming']",Spain,
819,2002,Winter,ESP,7,7,['Snowboarding' 'Alpine Skiing' 'Cross Country Skiing'],Spain,
820,2004,Summer,ESP,316,155,"['Rhythmic Gymnastics' 'Athletics' 'Hockey' 'Basketball' 'Judo' 'Handball'
 'Cycling' 'Rowing' 'Water Polo' 'Sailing' 'Canoeing' 'Gymnastics'
 'Beach Volleyball' 'Triathlon' 'Swimming' 'Shooting'
 'Synchronized Swimming' 'Badminton' 'Diving' 'Equestrianism' 'Tennis'
 'Archery' 'Taekwondo' 'Table Tennis' 'Weightlifting' 'Fencing'
 'Wrestling']",Spain,
821,2006,Winter,ESP,16,15,"['Cross Country Skiing' 'Alpine Skiing' 'Snowboarding' 'Biathlon'
 'Freestyle Skiing']",Spain,
822,2008,Summer,ESP,283,147,"['Fencing' 'Basketball' 'Badminton' 'Athletics' 'Water Polo' 'Sailing'
 'Judo' 'Hockey' 'Tennis' 'Swimming' 'Shooting' 'Handball' 'Diving'
 'Gymnastics' 'Triathlon' 'Synchronized Swimming' 'Canoeing'
 'Table Tennis' 'Rhythmic Gymnastics' 'Cycling' 'Boxing' 'Equestrianism'
 'Rowing' 'Taekwondo' 'Beach Volleyball' 'Modern Pentathlon' 'Wrestling'
 'Archery' 'Weightlifting']",Spain,
823,2010,Winter,ESP,18,23,"['Snowboarding' 'Alpine Skiing' 'Freestyle Skiing' 'Figure Skating'
 'Cross Country Skiing' 'Skeleton' 'Biathlon']",Spain,
824,2012,Summer,ESP,278,135,"['Badminton' 'Rhythmic Gymnastics' 'Athletics' 'Water Polo' 'Handball'
 'Sailing' 'Football' 'Hockey' 'Tennis' 'Boxing' 'Shooting' 'Swimming'
 'Beach Volleyball' 'Equestrianism' 'Synchronized Swimming' 'Judo'
 'Canoeing' 'Diving' 'Cycling' 'Gymnastics' 'Basketball' 'Archery'
 'Triathlon' 'Table Tennis' 'Taekwondo' 'Weightlifting' 'Wrestling']",Spain,
825,2014,Winter,ESP,20,25,"['Alpine Skiing' 'Snowboarding' 'Figure Skating' 'Freestyle Skiing'
 'Cross Country Skiing' 'Biathlon' 'Skeleton']",Spain,
826,2016,Summer,ESP,307,146,"['Gymnastics' 'Athletics' 'Badminton' 'Basketball' 'Water Polo' 'Handball'
 'Rhythmic Gymnastics' 'Sailing' 'Triathlon' 'Swimming' 'Hockey'
 'Equestrianism' 'Archery' 'Beach Volleyball' 'Tennis' 'Canoeing' 'Judo'
 'Rowing' 'Weightlifting' 'Rugby Sevens' 'Golf' 'Taekwondo' 'Cycling'
 'Synchronized Swimming' 'Boxing' 'Shooting' 'Table Tennis' 'Wrestling']",Spain,
827,1900,Summer,HAI,3,4,['Fencing' 'Rugby'],Haiti,
828,1924,Summer,HAI,8,9,['Athletics' 'Shooting'],Haiti,
829,1928,Summer,HAI,2,3,['Athletics'],Haiti,
830,1932,Summer,HAI,3,3,['Athletics' 'Art Competitions'],Haiti,
831,1960,Summer,HAI,1,1,['Weightlifting'],Haiti,
832,1972,Summer,HAI,7,7,['Athletics'],Haiti,
833,1976,Summer,HAI,13,14,['Athletics' 'Boxing'],Haiti,
834,1984,Summer,HAI,3,2,['Fencing' 'Athletics'],Haiti,
835,1988,Summer,HAI,4,5,['Tennis' 'Athletics'],Haiti,
836,1992,Summer,HAI,7,8,['Judo' 'Athletics'],Haiti,
837,1996,Summer,HAI,7,7,['Tennis' 'Judo' 'Athletics' 'Swimming'],Haiti,
838,2000,Summer,HAI,5,5,['Athletics' 'Tennis' 'Judo'],Haiti,
839,2004,Summer,HAI,8,8,['Boxing' 'Judo' 'Athletics' 'Taekwondo'],Haiti,
840,2008,Summer,HAI,7,7,['Boxing' 'Judo' 'Athletics'],Haiti,
841,2012,Summer,HAI,5,5,['Judo' 'Athletics'],Haiti,
842,2016,Summer,HAI,10,10,"['Wrestling' 'Judo' 'Swimming' 'Boxing' 'Athletics' 'Weightlifting'
 'Taekwondo']",Haiti,
843,1900,Summer,IND,1,5,['Athletics'],India,
844,1920,Summer,IND,5,6,['Athletics' 'Wrestling'],India,
845,1924,Summer,IND,13,13,['Tennis' 'Athletics'],India,
846,1924,Winter,IND,7,1,['Alpinism'],India,
847,1928,Summer,IND,21,10,['Athletics' 'Hockey'],India,
848,1932,Summer,IND,19,8,['Hockey' 'Athletics' 'Swimming'],India,
849,1936,Summer,IND,27,12,['Hockey' 'Wrestling' 'Athletics' 'Weightlifting'],India,
850,1948,Summer,IND,79,39,"['Water Polo' 'Cycling' 'Football' 'Wrestling' 'Boxing' 'Art Competitions'
 'Swimming' 'Hockey' 'Weightlifting' 'Athletics']",India,
851,1952,Summer,IND,64,42,"['Football' 'Shooting' 'Water Polo' 'Swimming' 'Cycling' 'Boxing' 'Hockey'
 'Wrestling' 'Athletics' 'Weightlifting' 'Gymnastics']",India,
852,1956,Summer,IND,59,32,"['Football' 'Swimming' 'Shooting' 'Athletics' 'Hockey' 'Wrestling'
 'Weightlifting' 'Gymnastics']",India,
853,1960,Summer,IND,45,20,['Hockey' 'Football' 'Athletics' 'Wrestling' 'Shooting' 'Weightlifting'],India,
854,1964,Summer,IND,52,42,"['Athletics' 'Hockey' 'Wrestling' 'Gymnastics' 'Weightlifting' 'Diving'
 'Shooting' 'Cycling']",India,
855,1964,Winter,IND,1,1,['Alpine Skiing'],India,
856,1968,Summer,IND,23,11,['Wrestling' 'Hockey' 'Weightlifting' 'Athletics' 'Shooting'],India,
857,1968,Winter,IND,1,3,['Alpine Skiing'],India,
858,1972,Summer,IND,41,27,"['Athletics' 'Sailing' 'Hockey' 'Wrestling' 'Shooting' 'Boxing'
 'Weightlifting']",India,
859,1976,Summer,IND,26,10,['Hockey' 'Athletics' 'Boxing' 'Weightlifting' 'Shooting'],India,
860,1980,Summer,IND,71,30,"['Equestrianism' 'Wrestling' 'Hockey' 'Shooting' 'Athletics' 'Boxing'
 'Basketball' 'Weightlifting']",India,
861,1984,Summer,IND,47,30,"['Athletics' 'Sailing' 'Hockey' 'Wrestling' 'Shooting' 'Weightlifting'
 'Boxing']",India,
862,1988,Summer,IND,46,27,"['Athletics' 'Tennis' 'Hockey' 'Boxing' 'Weightlifting' 'Wrestling'
 'Shooting' 'Table Tennis' 'Archery' 'Sailing' 'Swimming']",India,
863,1988,Winter,IND,3,2,['Alpine Skiing'],India,
864,1992,Summer,IND,52,36,"['Athletics' 'Weightlifting' 'Hockey' 'Table Tennis' 'Badminton' 'Judo'
 'Boxing' 'Sailing' 'Archery' 'Shooting' 'Wrestling' 'Tennis']",India,
865,1992,Winter,IND,2,2,['Alpine Skiing'],India,
866,1996,Summer,IND,49,31,"['Athletics' 'Weightlifting' 'Judo' 'Hockey' 'Table Tennis' 'Badminton'
 'Tennis' 'Archery' 'Wrestling' 'Equestrianism' 'Swimming' 'Shooting'
 'Boxing']",India,
867,1998,Winter,IND,1,1,['Luge'],India,
868,2000,Summer,IND,65,38,"['Equestrianism' 'Table Tennis' 'Hockey' 'Athletics' 'Tennis' 'Shooting'
 'Judo' 'Boxing' 'Badminton' 'Swimming' 'Rowing' 'Weightlifting'
 'Wrestling']",India,
869,2002,Winter,IND,1,1,['Luge'],India,
870,2004,Summer,IND,73,43,"['Table Tennis' 'Athletics' 'Archery' 'Tennis' 'Shooting' 'Hockey'
 'Wrestling' 'Badminton' 'Boxing' 'Weightlifting' 'Rowing' 'Sailing'
 'Judo' 'Swimming']",India,
871,2006,Winter,IND,4,5,['Alpine Skiing' 'Cross Country Skiing' 'Luge'],India,
872,2008,Summer,IND,53,48,"['Table Tennis' 'Archery' 'Tennis' 'Shooting' 'Athletics' 'Judo'
 'Wrestling' 'Sailing' 'Swimming' 'Rowing' 'Boxing' 'Badminton']",India,
873,2010,Winter,IND,3,3,['Luge' 'Cross Country Skiing' 'Alpine Skiing'],India,
874,2012,Summer,IND,81,55,"['Athletics' 'Archery' 'Boxing' 'Tennis' 'Shooting' 'Judo' 'Hockey'
 'Table Tennis' 'Badminton' 'Wrestling' 'Weightlifting' 'Rowing'
 'Swimming']",India,
875,2014,Winter,IND,2,2,['Cross Country Skiing' 'Alpine Skiing'],India,
876,2016,Summer,IND,112,67,"['Table Tennis' 'Athletics' 'Golf' 'Badminton' 'Wrestling' 'Rowing'
 'Shooting' 'Tennis' 'Archery' 'Hockey' 'Gymnastics' 'Swimming' 'Boxing'
 'Weightlifting' 'Judo']",India,
877,1900,Summer,IRI,1,1,['Fencing'],Iran,
878,1948,Summer,IRI,36,23,['Boxing' 'Basketball' 'Wrestling' 'Weightlifting' 'Shooting'],Iran,
879,1952,Summer,IRI,22,22,['Boxing' 'Athletics' 'Weightlifting' 'Wrestling'],Iran,
880,1956,Summer,IRI,17,17,['Athletics' 'Wrestling' 'Weightlifting'],Iran,
881,1956,Winter,IRI,3,3,['Alpine Skiing'],Iran,
882,1960,Summer,IRI,23,24,['Boxing' 'Wrestling' 'Weightlifting' 'Shooting' 'Athletics'],Iran,
883,1964,Summer,IRI,62,58,"['Boxing' 'Cycling' 'Fencing' 'Football' 'Athletics' 'Gymnastics'
 'Weightlifting' 'Wrestling' 'Diving' 'Shooting' 'Swimming']",Iran,
884,1964,Winter,IRI,4,3,['Alpine Skiing'],Iran,
885,1968,Summer,IRI,14,14,['Wrestling' 'Weightlifting' 'Athletics'],Iran,
886,1968,Winter,IRI,4,3,['Alpine Skiing'],Iran,
887,1972,Summer,IRI,48,33,"['Fencing' 'Wrestling' 'Football' 'Boxing' 'Weightlifting' 'Athletics'
 'Cycling']",Iran,
888,1972,Winter,IRI,4,3,['Alpine Skiing'],Iran,
889,1976,Summer,IRI,84,50,"['Football' 'Water Polo' 'Cycling' 'Fencing' 'Shooting' 'Wrestling'
 'Weightlifting' 'Boxing' 'Athletics']",Iran,
890,1976,Winter,IRI,4,3,['Alpine Skiing'],Iran,
891,1988,Summer,IRI,23,21,['Wrestling' 'Cycling' 'Athletics'],Iran,
892,1992,Summer,IRI,36,36,['Cycling' 'Weightlifting' 'Wrestling' 'Table Tennis' 'Boxing' 'Athletics'],Iran,
893,1996,Summer,IRI,18,18,['Wrestling' 'Shooting' 'Judo' 'Boxing' 'Swimming' 'Athletics'],Iran,
894,1998,Winter,IRI,1,1,['Alpine Skiing'],Iran,
895,2000,Summer,IRI,33,33,"['Taekwondo' 'Wrestling' 'Cycling' 'Weightlifting' 'Boxing' 'Table Tennis'
 'Canoeing' 'Athletics' 'Shooting' 'Judo' 'Swimming' 'Equestrianism']",Iran,
896,2002,Winter,IRI,2,2,['Alpine Skiing' 'Cross Country Skiing'],Iran,
897,2004,Summer,IRI,37,35,"['Table Tennis' 'Boxing' 'Wrestling' 'Cycling' 'Weightlifting' 'Judo'
 'Swimming' 'Shooting' 'Taekwondo' 'Athletics']",Iran,
898,2006,Winter,IRI,2,3,['Cross Country Skiing' 'Alpine Skiing'],Iran,
899,2008,Summer,IRI,54,40,"['Archery' 'Basketball' 'Cycling' 'Weightlifting' 'Wrestling' 'Judo'
 'Boxing' 'Athletics' 'Rowing' 'Taekwondo' 'Badminton' 'Table Tennis']",Iran,
900,2010,Winter,IRI,4,5,['Alpine Skiing' 'Cross Country Skiing'],Iran,
901,2012,Summer,IRI,52,51,"['Rowing' 'Wrestling' 'Fencing' 'Shooting' 'Table Tennis' 'Weightlifting'
 'Athletics' 'Taekwondo' 'Swimming' 'Archery' 'Boxing' 'Cycling'
 'Canoeing']",Iran,
902,2014,Winter,IRI,5,5,['Alpine Skiing' 'Cross Country Skiing'],Iran,
903,2016,Summer,IRI,63,46,"['Wrestling' 'Fencing' 'Shooting' 'Table Tennis' 'Taekwondo' 'Athletics'
 'Weightlifting' 'Volleyball' 'Rowing' 'Judo' 'Cycling' 'Canoeing'
 'Swimming' 'Archery' 'Boxing']",Iran,
904,1900,Summer,LUX,1,1,['Athletics'],Luxembourg,
905,1912,Summer,LUX,21,6,['Gymnastics' 'Athletics'],Luxembourg,
906,1920,Summer,LUX,25,18,['Weightlifting' 'Athletics' 'Wrestling' 'Football' 'Cycling' 'Swimming'],Luxembourg,
907,1924,Summer,LUX,48,35,"['Weightlifting' 'Football' 'Swimming' 'Wrestling' 'Gymnastics' 'Boxing'
 'Cycling' 'Athletics' 'Art Competitions' 'Tennis']",Luxembourg,
908,1928,Summer,LUX,48,31,"['Cycling' 'Water Polo' 'Swimming' 'Weightlifting' 'Wrestling'
 'Gymnastics' 'Athletics' 'Football' 'Art Competitions' 'Boxing']",Luxembourg,
909,1928,Winter,LUX,5,1,['Bobsleigh'],Luxembourg,
910,1932,Summer,LUX,3,3,['Art Competitions'],Luxembourg,
911,1936,Summer,LUX,49,37,"['Boxing' 'Gymnastics' 'Weightlifting' 'Football' 'Swimming' 'Cycling'
 'Athletics' 'Art Competitions' 'Wrestling' 'Canoeing']",Luxembourg,
912,1936,Winter,LUX,4,2,['Bobsleigh' 'Alpine Skiing'],Luxembourg,
913,1948,Summer,LUX,45,32,"['Fencing' 'Athletics' 'Boxing' 'Gymnastics' 'Cycling' 'Wrestling'
 'Football' 'Canoeing']",Luxembourg,
914,1952,Summer,LUX,44,32,"['Fencing' 'Boxing' 'Athletics' 'Gymnastics' 'Wrestling' 'Football'
 'Canoeing' 'Swimming' 'Cycling']",Luxembourg,
915,1956,Summer,LUX,11,22,['Athletics' 'Cycling' 'Fencing' 'Swimming' 'Gymnastics'],Luxembourg,
916,1960,Summer,LUX,52,48,"['Cycling' 'Athletics' 'Gymnastics' 'Shooting' 'Boxing' 'Canoeing'
 'Fencing' 'Weightlifting' 'Swimming' 'Wrestling']",Luxembourg,
917,1964,Summer,LUX,12,18,"['Athletics' 'Fencing' 'Shooting' 'Cycling' 'Wrestling' 'Gymnastics'
 'Swimming']",Luxembourg,
918,1968,Summer,LUX,5,7,['Fencing' 'Cycling' 'Shooting' 'Athletics' 'Swimming'],Luxembourg,
919,1972,Summer,LUX,11,8,['Fencing' 'Archery' 'Shooting' 'Cycling' 'Athletics'],Luxembourg,
920,1976,Summer,LUX,8,7,['Athletics' 'Shooting' 'Cycling' 'Fencing'],Luxembourg,
921,1980,Summer,LUX,3,4,['Archery' 'Athletics' 'Shooting'],Luxembourg,
922,1984,Summer,LUX,5,4,['Athletics' 'Archery' 'Shooting'],Luxembourg,
923,1988,Summer,LUX,8,11,['Swimming' 'Athletics' 'Shooting' 'Archery'],Luxembourg,
924,1988,Winter,LUX,1,3,['Alpine Skiing'],Luxembourg,
925,1992,Summer,LUX,6,8,['Swimming' 'Archery' 'Shooting' 'Judo'],Luxembourg,
926,1992,Winter,LUX,1,5,['Alpine Skiing'],Luxembourg,
927,1994,Winter,LUX,1,5,['Alpine Skiing'],Luxembourg,
928,1996,Summer,LUX,6,7,['Shooting' 'Tennis' 'Athletics' 'Judo' 'Fencing'],Luxembourg,
929,1998,Winter,LUX,1,1,['Figure Skating'],Luxembourg,
930,2000,Summer,LUX,7,8,['Triathlon' 'Swimming' 'Tennis' 'Table Tennis'],Luxembourg,
931,2004,Summer,LUX,10,10,['Swimming' 'Athletics' 'Archery' 'Cycling' 'Tennis' 'Triathlon'],Luxembourg,
932,2006,Winter,LUX,1,1,['Figure Skating'],Luxembourg,
933,2008,Summer,LUX,13,17,"['Triathlon' 'Swimming' 'Cycling' 'Judo' 'Table Tennis' 'Gymnastics'
 'Sailing']",Luxembourg,
934,2012,Summer,LUX,9,11,['Shooting' 'Swimming' 'Cycling' 'Archery' 'Tennis' 'Judo' 'Table Tennis'],Luxembourg,
935,2014,Winter,LUX,1,1,['Cross Country Skiing'],Luxembourg,
936,2016,Summer,LUX,10,14,['Swimming' 'Athletics' 'Cycling' 'Tennis' 'Table Tennis'],Luxembourg,
937,1900,Summer,MEX,3,1,['Polo'],Mexico,
938,1924,Summer,MEX,15,15,['Athletics' 'Tennis' 'Shooting'],Mexico,
939,1928,Summer,MEX,30,18,['Athletics' 'Football' 'Boxing' 'Fencing' 'Diving' 'Art Competitions'],Mexico,
940,1928,Winter,MEX,5,1,['Bobsleigh'],Mexico,
